id;user_id;message;code_err;text_expl;errcode;transaction_id
1;au défaut de devant dessus;vroum maîtriser penser;candide croâ;au-dessous ainsi;coupable;étant donné que présidence étudier
2;hors de diététiste ah;tandis que;saluer dans la mesure où;étant donné que périr population du Québec;adepte;bè coupable pourvu que
3;extatique;tsoin-tsoin même si;novice où éveiller;rater;étant donné que de façon à ce que;neutre durant
4;de peur de sage;ainsi présidence sur;puis foule;trop foncer compter;réprimer jouer;diététiste trop comme
5;oui de manière à ce que excéder;gens;au point que au cas où délégation;au cas où ci antagoniste;biathlète puisque drôlement;à la merci
6;antagoniste membre à vie;à même;guide chef de cuisine;crac vouh;smack également;chut découper en dépit de
7;refaire parlementaire membre de l’équipe;hé remuer drôlement;maigre;police;chef de cuisine électorat bien que;agréable
8;rechercher excéder maintenant;main-d’œuvre dans la mesure où;spécialiste égoïste;responsable;du côté de altruiste;sans que cyan souple
9;main-d’œuvre adorable;pacifique;décharger;sans doute;touchant;d'abord concentrer
10;personnel actionnaire précisément;agréable égoïste;avant-hier;jamais;main-d’œuvre;résumer timide conseil municipal
